model,dataset,feature_set,samples,precision,recall,f1,tp,fp,fn,tn,duration_h,true_events,reported_events,matched_events,missed_events,false_reported_events,event_precision,event_recall,event_f1,unmatched_overlapping_reports,duplicate_detection_rate,mean_matched_iou,mean_signed_onset_error_s,false_events_per_hour,mode,threshold,per_flight_f1_min,per_flight_f1_max,macro_type_recall,objective
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.8592155973702108,0.9805950840879688,0.915901401643306,3790,621,75,31514,1.0,25,37,25,0,12,0.6756756756756757,1.0,0.8064516129032258,3,0.081081081081081,0.9099248767480038,-0.5280000000000016,12.000000000000002,ml,1.0,0.0,0.9467787114845938,0.9932003626473254,0.8985262572220858
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.8207343412526998,0.9831824062095732,0.894643908181283,3800,830,65,31305,1.0,25,39,25,0,14,0.6410256410256411,1.0,0.7812500000000001,2,0.0512820512820512,0.9074522366475324,-0.5760000000000016,14.000000000000002,weighted,1.0,0.0,0.9422283356258596,0.9941069809610154,0.8805183502828446
none,V2 validation,temporal_spectral_v2,36000,0.9550392275196138,0.8188874514877102,0.8817384036773924,3165,149,700,31986,1.0,25,35,25,0,10,0.7142857142857143,1.0,0.8333333333333333,10,0.2857142857142857,0.8867659658560243,2.888,10.000000000000002,statistical,3.0,0.0,0.9476849067949488,0.9281658105660526,0.8765023639519067
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9550392275196138,0.8188874514877102,0.8817384036773924,3165,149,700,31986,1.0,25,35,25,0,10,0.7142857142857143,1.0,0.8333333333333333,10,0.2857142857142857,0.8867659658560243,2.888,10.000000000000002,or,3.0,0.0,0.9476849067949488,0.9281658105660526,0.8765023639519067
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.8102969450972014,0.9813712807244502,0.8876667446758717,3793,888,72,31247,1.0,25,42,25,0,17,0.5952380952380952,1.0,0.7462686567164178,2,0.0476190476190476,0.9083371688571522,-0.5559999999999994,17.000000000000004,weighted,1.0,0.0,0.9437890353920888,0.9933277158551544,0.8663795125238921
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9680243623905596,0.6579560155239327,0.7834257547751077,2543,84,1322,32051,1.0,25,28,25,0,3,0.8928571428571429,1.0,0.9433962264150944,3,0.1071428571428571,0.8586521178889523,4.931999999999999,3.0000000000000004,weighted,3.0,0.0,0.935031847133758,0.8659888600034158,0.8479295173127654
none,V2 validation,temporal_spectral_v2,36000,0.6681299385425812,0.9844760672703752,0.7960251046025105,3805,1890,60,30245,1.0,25,86,25,0,61,0.2906976744186046,1.0,0.4504504504504504,2,0.0232558139534883,0.8215127114774745,-0.7559999999999986,61.00000000000001,statistical,1.0,0.0,0.9332425068119892,0.9945602901178604,0.7320597454599624
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.6648034934497816,0.9847347994825356,0.7937434827945776,3806,1919,59,30216,1.0,25,86,25,0,61,0.2906976744186046,1.0,0.4504504504504504,2,0.0232558139534883,0.8214295142615191,-0.7599999999999995,61.00000000000001,or,1.0,0.0,0.9319727891156462,0.9946509519492294,0.7309370669222699
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.6637600279037321,0.9847347994825356,0.7929992707573704,3806,1928,59,30207,1.0,25,87,25,0,62,0.2873563218390804,1.0,0.4464285714285714,2,0.0229885057471264,0.8137971743389045,-0.7559999999999986,62.00000000000001,or,1.0,0.0,0.9332425068119892,0.9946509519492294,0.7293583971971025
none,V2 validation,temporal_spectral_v2,36000,0.9987654320987654,0.2093143596377749,0.3460962566844919,809,1,3056,32134,1.0,25,15,15,10,0,1.0,0.6,0.7499999999999999,0,0.0,1.0,0.0,0.0,rules,2.0,0.0,0.4242424242424242,0.6,0.5180481283422459
none,V2 validation,temporal_spectral_v2,36000,1.0,0.2090556274256144,0.3458163920393751,808,0,3057,32135,1.0,25,15,15,10,0,1.0,0.6,0.7499999999999999,0,0.0,1.0,0.0,0.0,rules,3.0,0.0,0.4242424242424242,0.5974683544303797,0.5174018669057635
none,V2 validation,temporal_spectral_v2,36000,0.9597633136094674,0.2098318240620957,0.3443736730360933,811,34,3054,32101,1.0,25,16,15,10,1,0.9375,0.6,0.7317073170731707,0,0.0,0.9756335227540452,0.0,1.0000000000000002,rules,1.5,0.0,0.4234234234234234,0.6001813236627379,0.5117352963725454
none,V2 validation,temporal_spectral_v2,36000,0.5859649122807018,0.2160413971539456,0.3156899810964083,835,590,3030,31545,1.0,25,19,15,10,4,0.7894736842105263,0.6,0.6818181818181819,0,0.0,0.8221432490107737,-0.0800000000000002,4.000000000000001,rules,1.0,0.0,0.4154696132596685,0.6029357367607061,0.4829775924457999
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.7311385459533608,0.1379042690815006,0.2320417936438833,533,196,3332,31939,1.0,25,33,11,14,22,0.3333333333333333,0.44,0.3793103448275862,16,0.4848484848484848,0.6798571459721336,1.7727272727272747,22.000000000000004,ml,1.0,0.0,0.3901665344964314,0.2787681619739407,0.2855676326650057
isolation_forest,V2 validation,temporal_spectral_v2,36000,1.0,0.0346701164294954,0.0670167541885471,134,0,3731,32135,1.0,25,5,5,20,0,1.0,0.2,0.3333333333333333,0,0.0,1.0,0.0,0.0,ml,1.5,0.0,0.1081081081081081,0.2004251099919041,0.1735933990926544
isolation_forest,V2 validation,temporal_spectral_v2,36000,1.0,0.0341526520051746,0.0660495371528646,132,0,3733,32135,1.0,25,5,5,20,0,1.0,0.2,0.3333333333333333,0,0.0,1.0,0.0,0.0,ml,2.0,0.0,0.1081081081081081,0.2,0.1730247685764323
isolation_forest,V2 validation,temporal_spectral_v2,36000,1.0,0.0341526520051746,0.0660495371528646,132,0,3733,32135,1.0,25,5,5,20,0,1.0,0.2,0.3333333333333333,0,0.0,1.0,0.0,0.0,ml,3.0,0.0,0.1081081081081081,0.2,0.1730247685764323
